# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
jian bao 	簡報	c=4 d=1.9802 t=107152
jian ce 	檢測	c=5 d=1 t=146446
jian ce 	監測	c=4 d=1 t=79754
jian cha 	檢查	c=60 d=1.00089 t=156002
jian da ti 	簡答題	c=8 d=1 t=110885
jian dan 	簡單	c=18 d=1 t=154347
jian fa 	減法	c=6 d=1 t=92048
jian ge 	間隔	c=7 d=1.96561 t=130400
jian guo 	見過	c=1 d=1 t=92003
jian hao 	建好	c=1 d=1 t=143499
jian hua 	簡化	c=5 d=1 t=112052
jian jie 	簡介	c=14 d=1 t=122282
jian ju 	間距	c=1 d=1 t=51703
jian kang 	健康	c=6 d=1 t=153108
jian kang ma 	健康碼	c=1 d=1 t=133107
jian kong 	監控	c=71 d=2.97032 t=156511
jian li 	建立	c=5 d=1 t=107318
jian lou 	檢漏	c=1 d=1 t=30375
jian rong 	兼容	c=20 d=1.00114 t=150676
jian shao 	減少	c=2 d=1 t=149938
jian she 	建設	c=2 d=1 t=79759
jian suo 	檢索	c=6 d=3.84206 t=13572
jian ti 	簡體	c=5 d=1.00238 t=148096
jian ting 	監聽	c=11 d=1 t=128113
jian yan 	檢驗	c=2 d=1 t=111416
jian yi 	建議	c=52 d=1 t=155742
jiang 	將	c=4 d=1 t=143441
jiang 	江	c=1 d=1 t=70647
jiang 	蔣	c=2 d=1.9802 t=86949
jiang 	講	c=15 d=1 t=134505
jiang 	降	c=2 d=1 t=130516
jiang ji 	降級	c=17 d=1 t=126780
jiang jin 	獎金	c=2 d=1 t=78944
jiang shi 	殭屍	c=2 d=1.66034 t=87299
jiang shi 	講師	c=3 d=1 t=131716
jiang xu 	降序	c=19 d=1.00002 t=116537
jiang zao 	降噪	c=1 d=1 t=16360
jiang zuo 	講座	c=1 d=1 t=138010
jiao 	交	c=5 d=1 t=103009
jiao 	叫	c=41 d=1.44346 t=150439
jiao 	教	c=1 d=1 t=145296
jiao 	焦	c=2 d=1.11824 t=37877
jiao 	角	c=3 d=1 t=155096
jiao ben 	腳本	c=17 d=1 t=134315
jiao biao 	角標	c=5 d=4.28897 t=94350
jiao cheng 	教程	c=14 d=1 t=148845
jiao fei 	繳費	c=26 d=2.68384 t=100373
jiao hu 	交互	c=3 d=1 t=89606
jiao huan 	交換	c=5 d=1.21546 t=108058
jiao huan ji 	交換機	c=3 d=1 t=128403
jiao ji 	交集	c=2 d=1.99005 t=78411
jiao liu 	交流	c=5 d=1 t=80752
jiao shang 	叫上	c=1 d=1 t=87558
jiao shi 	教室	c=1 d=1 t=40768
jiao tong 	交通	c=2 d=0.1 t=151874
jiao tong ka 	交通卡	c=1 d=1 t=110522
jiao tong pu 	交通普	c=1 d=1 t=151875
jiao wei 	較爲	c=1 d=1 t=92616
jiao xun 	教訓	c=1 d=1 t=149519
jiao yan 	校驗	c=50 d=1 t=155362
jiao yu 	教育	c=98 d=1.84367 t=156183
jie 	借	c=3 d=1 t=54004
jie 	傑	c=6 d=1 t=62845
jie 	姐	c=3 d=1 t=148242
jie 	截	c=17 d=1 t=155089
jie 	接	c=59 d=1.22091 t=154674
jie 	界	c=2 d=1 t=85408
jie 	結	c=2 d=1 t=82298
jie 	解	c=20 d=1 t=154270
jie chou 	結仇	c=0 d=0.1 t=100348
jie chu 	解除	c=3 d=1 t=136602
jie da 	解答	c=2 d=1 t=52643
jie dao 	街道	c=2 d=1.91393 t=70656
jie dian 	節點	c=31 d=1 t=136625
jie duan 	階段	c=2 d=1 t=134518
jie gou 	結構	c=39 d=1.01337 t=154701
jie gou 	解構	c=1 d=1 t=104848
jie guo 	結果	c=22 d=1 t=154534
jie he 	結合	c=3 d=1.99501 t=110479
jie jue 	解決	c=59 d=1.70117 t=145623
jie jue fang an 	解決方案	c=1 d=1 t=44206
jie kou 	接口	c=1070 d=1.6007 t=156372
jie lun 	結論	c=3 d=1 t=147977
jie ma 	解碼	c=2 d=1 t=72412
jie mi 	揭祕	c=1 d=1 t=90795
jie mi 	解密	c=9 d=1 t=140576
jie mian 	界面	c=9 d=1 t=153758
jie qu 	截取	c=1 d=1 t=103160
jie ru 	接入	c=68 d=1 t=149532
jie san 	解散	c=1 d=1 t=17037
jie shao 	介紹	c=46 d=1.12124 t=143976
jie shi 	解釋	c=1 d=1 t=48012
jie shou 	接受	c=5 d=1.0005 t=129559
jie shou 	接收	c=24 d=1 t=143144
jie shou ren 	接收人	c=3 d=1 t=92721
jie shou zhe 	接受者	c=1 d=1 t=82830
jie shou zhe 	接收者	c=6 d=1.00007 t=85488
jie shu 	結束	c=39 d=1 t=156216
jie shui 	節水	c=8 d=1.67706 t=121939
jie suo 	解鎖	c=4 d=1.04449 t=143574
jie suo ma 	解鎖碼	c=1 d=1 t=143413
jie tu 	截圖	c=81 d=1 t=154526
jie wei 	結尾	c=4 d=1.00014 t=105057
jie xi 	解析	c=13 d=1 t=122180
jie ya 	解壓	c=13 d=1.62814 t=154821
jie yue 	節約	c=2 d=1 t=95180
jie zhi 	截止	c=1 d=1 t=82842
jin 	僅	c=1 d=1 t=107054
jin 	禁	c=6 d=1 t=113625
jin 	進	c=37 d=1 t=156453
jin 	金	c=13 d=1 t=117936
jin 	錦	c=1 d=1 t=70646
jin bu qu 	進不去	c=1 d=1 t=28034
jin cheng 	進程	c=21 d=1 t=147936
jin chu 	進出	c=1 d=1 t=143364
jin du 	進度	c=15 d=2.95566 t=146915
jin du tiao 	進度條	c=2 d=1 t=105723
jin e 	金額	c=5 d=1 t=92012
jin ji 	緊急	c=5 d=1 t=88623
jin kuai 	儘快	c=2 d=1 t=131569
jin lai 	進來	c=1 d=1 t=36382
jin liang 	儘量	c=9 d=1 t=143511
jin nian 	今年	c=2 d=1 t=92189
jin qi 	近期	c=1 d=1 t=92733
jin qiu 	進球	c=1 d=1 t=154037
jin qu 	進去	c=23 d=1 t=155141
jin ri 	今日	c=4 d=3.88767 t=23246
jin rong 	金融	c=2 d=1 t=147951
jin ru 	進入	c=24 d=1 t=152449
jin ru ru 	進入入	c=1 d=1 t=8467
jin shan 	金山	c=1 d=1 t=112845
jin shen 	謹慎	c=1 d=1 t=123081
jin tian 	今天	c=111 d=1.58035 t=154244
jin wan 	今晚	c=2 d=1 t=89177
jin xing 	進行	c=12 d=1.00248 t=120035
jin yi bu 	進一步	c=1 d=1 t=138706
jin yong 	禁用	c=18 d=3.98905 t=150421
jin zhang 	緊張	c=2 d=1 t=135590
jin zhi 	禁止	c=7 d=1.99005 t=151139
jin zhi 	進制	c=9 d=1 t=109690
jing 	井	c=1 d=1 t=138003
jing 	京	c=12 d=1.00002 t=147958
jing 	景	c=15 d=1 t=133125
jing 	晶	c=2 d=1 t=117937
jing chang 	經常	c=3 d=1.96561 t=155074
jing dong 	京東	c=11 d=1.00961 t=147950
jing du 	精度	c=9 d=3.962 t=155895
jing du 	經度	c=2 d=1 t=74212
jing guo 	經過	c=1 d=1 t=124780
jing hao 	井號	c=1 d=1 t=77643
jing hua qi 	淨化器	c=4 d=1 t=38830
jing jian 	精簡	c=1 d=1 t=148515
jing li 	經理	c=5 d=1.97531 t=120836
jing mo 	靜默	c=1 d=1 t=150122
jing que 	精確	c=2 d=1 t=106127
jing tai 	靜態	c=24 d=1 t=154556
jing wei du 	經緯度	c=3 d=1.98511 t=133453
jing xi 	京喜	c=1 d=1 t=148290
jing xi 	驚喜	c=1 d=1 t=145696
jing xiang 	鏡像	c=46 d=1.00011 t=149150
jing xiang ku 	鏡像庫	c=1 d=1 t=95776
jing xiao 	經銷	c=9 d=1 t=77747
jing xiao shan 	經銷刪	c=2 d=1 t=77755
jing xiao shang 	經銷商	c=18 d=1.67368 t=75384
jing ying 	經營	c=2 d=1.91393 t=70661
jing zhun 	精準	c=0 d=0.1 t=94926
jiu 	久	c=8 d=1 t=142235
jiu 	九	c=1 d=1 t=75523
jiu 	就	c=1173 d=1.98633 t=156645
jiu 	舊	c=2 d=1 t=146969
jiu gong ge 	九宮格	c=1 d=1 t=12212
jiu he 	就和	c=1 d=1 t=92905
jiu jiu 	舅舅	c=1 d=1 t=42300
jiu ke yi 	就可以	c=1 d=1 t=48887
jiu mou 	蝤蛑	c=0 d=0.1 t=136665
jiu mou an 	蝤蛑按	c=1 d=1 t=136666
jiu shi 	就是	c=56 d=1.25284 t=154860
jiu xing 	就行	c=1 d=1 t=107401
ju 	劇	c=2 d=1.99005 t=2967
ju 	局	c=1 d=1 t=83581
ju 	巨	c=1 d=1 t=67652
ju 	拒	c=1 d=1 t=44475
ju 	據	c=1 d=1 t=82290
ju 	距	c=1 d=1 t=61813
ju bao 	舉報	c=1 d=1 t=140464
ju bu 	局部	c=1 d=1 t=14464
ju can 	聚餐	c=3 d=1.92774 t=58441
ju hao 	句號	c=1 d=1 t=68220
ju he 	聚合	c=19 d=1 t=129592
ju jue 	拒絕	c=12 d=1 t=86279
ju li 	距離	c=4 d=3.71932 t=45435
ju min 	居民	c=1 d=1 t=95981
ju ti 	具體	c=58 d=1 t=156483
ju yu 	局域	c=1 d=1 t=38032
ju yu wang 	局域網	c=4 d=1 t=124301
ju zhong 	居中	c=6 d=1.98511 t=98002
juan 	卷	c=3 d=1 t=151439
juan mao 	捲毛	c=1 d=1 t=114589
jue 	掘	c=1 d=1 t=64008
jue ce 	決策	c=1 d=1 t=121343
jue de 	覺得	c=5 d=1.00002 t=146769
jue ding 	決定	c=20 d=1 t=154713
jue dui 	絕對	c=5 d=1 t=137780
jue dui zhi 	絕對值	c=1 d=1 t=97399
jue se 	角色	c=40 d=1 t=151373
jun 	俊	c=5 d=1 t=83318
jun 	均	c=3 d=2.96042 t=94124
jun 	軍	c=2 d=1 t=103811
jun heng 	均衡	c=8 d=1.13083 t=91514
jun heng qi 	均衡器	c=2 d=1.06425 t=90287
ka 	卡	c=43 d=1 t=156386
ka bao 	卡包	c=1 d=1 t=64506
ka dun 	卡頓	c=7 d=1 t=139979
ka hao 	卡號	c=1 d=1 t=96761
ka pian 	卡片	c=36 d=1.00288 t=28344
ka si 	卡死	c=7 d=1.17907 t=90813
kai 	凱	c=1 d=1 t=18004
kai 	開	c=136 d=1.00004 t=155962
kai che 	開車	c=3 d=1 t=133120
kai fa 	開發	c=180 d=1.49838 t=148426
kai fa zhe 	開發者	c=2 d=1 t=69151
kai fang 	開放	c=10 d=1.98855 t=135090
kai ge 	開個	c=6 d=1 t=109110
kai hao le 	開好了	c=1 d=1 t=36335
kai hu 	開戶	c=1 d=1 t=123773
kai hui 	開會	c=30 d=1 t=142192
kai ji 	開機	c=8 d=1 t=142596
kai ke shi jian 	開課時間	c=0 d=0.1 t=105738
kai lai 	開來	c=1 d=1 t=115806
kai le 	開了	c=2 d=1 t=95576
kai men 	開門	c=2 d=1 t=21738
kai qi 	開啓	c=63 d=1.02282 t=152323
kai shi 	開始	c=86 d=1.67722 t=156588
kai tong 	開通	c=14 d=1 t=110175
kai tou 	開頭	c=4 d=1 t=113073
kai xia 	開下	c=3 d=1 t=83709
kai yuan 	開源	c=9 d=1 t=143854
kai zao 	開鑿	c=3 d=1 t=148553
kai zhe 	開着	c=1 d=1 t=48135
kan 	看	c=917 d=1.91218 t=156541
kan ba 	看吧	c=3 d=1 t=140038
kan bu chu 	看不出	c=4 d=1 t=122915
kan bu chu lai 	看不出來	c=2 d=1 t=107179
kan bu dao 	看不到	c=1 d=1 t=97325
kan bu liao 	看不了	c=1 d=1 t=76803
kan chu 	看出	c=15 d=1 t=147187
kan cuo 	看錯	c=1 d=1 t=34560
kan dao 	看到	c=89 d=1 t=156388
kan dao le 	看到了	c=14 d=1 t=152794
kan dong 	看懂	c=1 d=1 t=57239
kan guo 	看過	c=2 d=1 t=131731
kan kan 	看看	c=27 d=1 t=153929
kan lai 	看來	c=2 d=1 t=122445
kan le 	看了	c=8 d=1 t=92333
kan qing 	看清	c=1 d=1 t=40254
kan shang 	看上	c=9 d=1.32584 t=143626
kan shang qu 	看上去	c=7 d=1.70117 t=142686
kan xi 	看戲	c=3 d=1 t=102039
kan xia 	看下	c=2088 d=6.48704 t=156677
kan zhe 	看着	c=7 d=1 t=144220
kao 	考	c=3 d=1 t=105390
kao 	靠	c=3 d=1 t=125420
kao bei 	拷貝	c=59 d=2.34434 t=148896
kao cha 	考察	c=2 d=1.99005 t=89975
kao jin 	靠近	c=1 d=1 t=24288
kao juan 	考卷	c=2 d=1 t=151499
kao lv 	考慮	c=12 d=1.0002 t=152292
kao qin 	考勤	c=6 d=1.86502 t=150116
kao sheng 	考生	c=2 d=1.80654 t=152766
kao shi 	考試	c=146 d=2.25503 t=156692
kao wan 	考完	c=1 d=1 t=139402
kao xiang chang 	烤香腸	c=1 d=1 t=19747
kao zheng 	考證	c=16 d=1.9405 t=61252
ke 	可	c=53 d=1.61263 t=145047
ke 	殼	c=23 d=1 t=131146
ke 	課	c=3 d=1 t=137953
ke ai 	可愛	c=1 d=1 t=50904
ke bu ke yi 	可不可以	c=1 d=1 t=58357
ke cheng 	課程	c=112 d=1 t=155614
ke dong 	克東	c=2 d=1 t=107641
ke fang 	客房	c=1 d=1 t=115615
ke fou 	可否	c=2 d=1 t=141939
ke fu 	客服	c=1 d=1 t=62241
ke gui 	可貴	c=2 d=1 t=136777
ke hu 	客戶	c=93 d=2.78714 t=156684
ke hu ceng 	客戶層	c=2 d=1 t=131766
ke hu dai ma 	客戶代碼	c=1 d=1 t=51641
ke hu duan 	客戶端	c=17 d=1.17839 t=153731
ke hu guan li 	客戶管理	c=2 d=1.956 t=72228
ke hu hao 	客戶號	c=3 d=1 t=155887
ke ji 	科技	c=39 d=1.76338 t=152356
ke kao xing 	可靠性	c=1 d=1 t=10783
ke neng 	可能	c=359 d=1.04572 t=155670
ke ran 	可燃	c=1 d=1 t=128220
ke ren 	客人	c=0 d=0.1 t=16534
ke shi 	可是	c=1 d=1 t=94262
ke shi hua 	可視化	c=1 d=1 t=119467
ke tie 	可貼	c=3 d=1 t=115472
ke tuo 	咳唾	c=4 d=1 t=88497
ke xue 	科學	c=3 d=1 t=114054
ke yi 	可以	c=1085 d=1.63458 t=156615
ke yi ma 	可以嗎	c=1 d=1 t=86162
ke yong 	可用	c=6 d=1 t=107596
ke zhan 	客棧	c=1 d=1 t=22422
ke zhi xing 	可執行	c=2 d=1 t=143436
ken ding 	肯定	c=46 d=1.23575 t=155777
keng 	坑	c=3 d=1 t=145666
kong 	控	c=5 d=1 t=137996
kong 	空	c=240 d=1.10382 t=156518
kong bai 	空白	c=2 d=1 t=86308
kong ge 	空格	c=15 d=1.99501 t=134820
kong hang 	空行	c=1 d=1 t=107833
kong jian 	空間	c=15 d=1 t=150817
kong long 	恐龍	c=1 d=1 t=109954
kong qi 	空氣	c=5 d=1.9802 t=38829
kong tiao 	空調	c=4 d=1.92312 t=117956
kong zhi 	控制	c=34 d=1 t=151655
kong zhi qi 	控制器	c=2 d=1 t=58594
kong zhi tai 	控制檯	c=3 d=1 t=98387
kou 	口	c=6 d=1 t=133510
kou 	釦	c=3 d=1.00019 t=151229
ku 	庫	c=103 d=1.03763 t=156083
ku jiong 	枯窘	c=1 d=1 t=152638
kua 	跨	c=12 d=1 t=117514
kua ke 	夸克	c=19 d=2.08735 t=148261
kua yu 	跨域	c=37 d=1 t=153016
kua yue 	跨越	c=1 d=1 t=7373
kuai 	塊	c=18 d=2.91732 t=110505
kuai 	快	c=28 d=1.06206 t=151370
kuai jie jian 	快捷鍵	c=5 d=1.00121 t=86873
kuai jin 	快進	c=4 d=3.93575 t=101361
kuai su 	快速	c=56 d=1 t=147991
kuai zhao 	快照	c=2 d=1.99501 t=61546
kuan 	寛	c=1 d=1 t=45175
kuan 	寬	c=3 d=2.97032 t=119456
kuan 	款	c=2 d=1 t=125109
kuan du 	寬度	c=3 d=1 t=105591
kuan rong 	寬容	c=2 d=1.94176 t=45239
kuang 	框	c=7 d=1 t=138995
kuang die 	狂跌	c=0 d=0.1 t=144550
kuang jia 	框架	c=3 d=1.96561 t=101779
kuang lie 	框列	c=1 d=1 t=9336
kun 	困	c=1 d=1 t=39644
kun nan 	困難	c=2 d=1 t=72362
kuo chong 	擴充	c=0 d=0.1 t=147641
kuo rong 	擴容	c=5 d=1 t=116287
kuo zhan 	擴展	c=8 d=1 t=139721
la 	拉	c=172 d=1.3624 t=156654
la dao 	拉到	c=2 d=1 t=78306
la ji 	垃圾	c=14 d=1 t=154105
la qu 	拉取	c=33 d=1 t=144400
la ren 	拉人	c=8 d=1 t=90605
la se 	垃圾	c=1 d=1 t=95964
la xia 	落下	c=1 d=1 t=142574
lai 	來	c=133 d=1.1281 t=156127
lai ba 	來吧	c=3 d=1 t=91213
lai bu ji 	來不及	c=5 d=1 t=155825
lai de 	來的	c=2 d=1 t=140904
lai de ji 	來得及	c=2 d=1 t=84024
lai dian 	來電	c=1 d=1 t=14466
lai ke 	來客	c=14 d=2.85552 t=153120
lai shuo 	來說	c=2 d=1 t=132534
lai yuan 	來源	c=29 d=1.00087 t=98175
lai yuan ming 	來源名	c=1 d=1 t=56675
lai zhe 	來着	c=29 d=1 t=154251
lai zi 	來自	c=3 d=1 t=103312
lan 	懶	c=1 d=1 t=109668
lan 	欄	c=3 d=1 t=122312
lan 	藍	c=4 d=1 t=97401
lan 	蘭	c=1 d=1 t=48504
lan de 	懶得	c=1 d=1 t=63583
lan jie 	攔截	c=4 d=1 t=74929
lan jie qi 	攔截器	c=1 d=1 t=1446
lan se 	藍色	c=1 d=1 t=9484
lan ya 	藍牙	c=3 d=1.02765 t=75961
lan yong 	濫用	c=1 d=1 t=90624
lan zhu 	攔住	c=1 d=1 t=39147
lang 	狼	c=1 d=1 t=108064
lang da 	朗達	c=1 d=1 t=36770
lang du 	朗讀	c=1 d=1 t=118513
lang fei 	浪費	c=1 d=1 t=133098
lao 	老	c=38 d=1 t=155335
lao ban 	老版	c=2 d=1 t=79735
lao ban 	老闆	c=1 d=1 t=79736
lao de 	老的	c=2 d=1 t=66717
lao hu ji 	老虎機	c=1 d=1 t=103822
lao nian 	老年	c=1 d=1.056 t=1884
lao nian dai 	老年代	c=1 d=1 t=1885
lao po 	老婆	c=4 d=1 t=150770
lao shi 	老師	c=1 d=1 t=112847
lao zao 	老早	c=3 d=1 t=153880
le 	了	c=4037 d=6.92854 t=156698
le 	樂	c=1 d=1 t=11168
lei 	類	c=25 d=1 t=137875
lei mu 	類目	c=2 d=1 t=122804
lei si 	類似	c=19 d=1.00415 t=152004
lei tong 	雷同	c=1 d=1 t=102013
lei xing 	類型	c=164 d=1.91115 t=154969
leng jing 	冷靜	c=1 d=1 t=114697
leng shi 	愣是	c=1 d=1 t=122159
li 	例	c=1 d=1 t=100958
li 	利	c=3 d=1 t=104859
li 	李	c=15 d=1 t=101333
li 	理	c=4 d=1 t=88103
li 	立	c=5 d=1 t=155593
li 	裏	c=264 d=1.20464 t=156254
li 	麗	c=2 d=1 t=105139
li bai 	禮拜	c=18 d=1 t=156435
li bai er 	禮拜二	c=0 d=0.1 t=144153
li bai liu 	禮拜六	c=1 d=1 t=2528
li bai san 	禮拜三	c=2 d=1 t=144158
li bai si 	禮拜四	c=3 d=1 t=125348
li bai tian 	禮拜天	c=2 d=1 t=140023
li bai wu 	禮拜五	c=3 d=1 t=126665
li bai yi 	禮拜一	c=1 d=1 t=103237
li de 	離得	c=1 d=1 t=128095
li fa 	立法	c=1 d=1 t=31934
li hai 	厲害	c=1 d=1 t=28270
li ji 	立即	c=8 d=1 t=142195
li jie 	理解	c=4 d=1 t=141702
li kai 	離開	c=9 d=0.100015 t=92300
li kai xia 	離開下	c=1 d=1 t=92301
li lun 	理論	c=3 d=1 t=149928
li mian 	裏面	c=41 d=1.39462 t=154715
li shi 	歷史	c=31 d=1.00056 t=155550
li xian 	離線	c=48 d=2.0562 t=152516
li yong 	利用	c=1 d=1 t=31932
li you 	理由	c=6 d=1.06578 t=79470
li zhi 	離職	c=4 d=1 t=148564
li zi 	例子	c=13 d=1.91393 t=154978
lian 	聯	c=3 d=1 t=144672
lian 	連	c=52 d=1 t=153957
lian 	鏈	c=9 d=1 t=117973
lian he 	聯合	c=9 d=1 t=121644
lian jie 	連接	c=100 d=1 t=154301
lian jie 	鏈接	c=33 d=1 t=154228
lian jie chi 	連接池	c=5 d=1 t=100350
lian jie chou 	連結仇	c=1 d=1 t=100349
lian jie shu 	連接數	c=2 d=1 t=139724
lian lu 	鏈路	c=1 d=1 t=77618
lian ren 	戀人	c=1 d=1 t=10833
lian tiao 	聯調	c=3 d=1.55156 t=73283
lian tong 	聯通	c=13 d=2.95551 t=155082
lian tong 	連通	c=2 d=1 t=120396
lian xi 	練習	c=105 d=2.24621 t=155847
lian xi 	聯繫	c=20 d=1 t=148200
lian xi ren 	聯繫人	c=8 d=1 t=103984
lian xu 	連續	c=3 d=1 t=10724
liang 	兩	c=23 d=1 t=153268
liang 	樑	c=125 d=1.99741 t=151511
liang 	量	c=36 d=1.00009 t=156667
liang ci 	兩次	c=8 d=1 t=91967
liang dian 	兩點	c=1 d=1 t=72110
liang duan 	兩端	c=4 d=2.74716 t=98756
liang fen zhong 	兩分鐘	c=1 d=1 t=87853
liang ge 	兩個	c=147 d=1.00063 t=156700
liang ge ge 	兩個個	c=1 d=1 t=143046
liang hao 	良好	c=1 d=1 t=92620
liang jia 	兩家	c=2 d=1.01822 t=143050
liang miao 	兩秒	c=1 d=1 t=79210
liang nian 	兩年	c=3 d=1.97531 t=150184
liang pian 	兩篇	c=2 d=1 t=102962
liang san 	兩三	c=2 d=1.67032 t=135204
liang tai 	兩臺	c=17 d=1 t=149931
liang tao 	兩套	c=2 d=1.81465 t=70493
liang tian 	兩天	c=11 d=2.10805 t=134322
liang tiao 	兩條	c=7 d=1 t=92566
liang wei 	兩位	c=1 d=1 t=155755
liang xia 	兩下	c=1 d=1 t=72282
liang xiao dong 	樑曉東	c=1 d=1 t=33821
liang zhang 	兩張	c=2 d=1 t=106186
liang zhong 	兩種	c=5 d=1.05784 t=128606
liao 	了	c=1 d=1 t=31478
liao 	聊	c=10 d=1 t=127476
liao jie 	瞭解	c=14 d=1 t=154827
liao tian 	聊天	c=63 d=1 t=154203
liao tian ji lu 	聊天記錄	c=3 d=1 t=22350
lie 	列	c=16 d=1 t=151819
lie biao 	列表	c=230 d=3.58131 t=155522
lie chu 	列出	c=1 d=1 t=115943
lin ju 	鄰居	c=1 d=1 t=126765
lin shi 	臨時	c=61 d=1.14882 t=151251
lin shi biao 	臨時表	c=1 d=1 t=83354
ling 	令	c=1 d=1 t=25859
ling 	另	c=27 d=1 t=155922
ling 	玲	c=7 d=1 t=150959
ling 	零	c=1 d=1 t=92368
ling chen 	凌晨	c=2 d=1 t=114128
ling dao 	領導	c=4 d=1 t=149186
ling huo 	靈活	c=2 d=1 t=125310
ling qu 	領取	c=1 d=1 t=82132
ling wai 	另外	c=21 d=1 t=151944
ling wai yi ge 	另外一個	c=1 d=1 t=86922
ling yi ge 	另一個	c=10 d=1 t=103299
ling yi jia 	另一家	c=1 d=1 t=139916
ling yi tai 	另一臺	c=1 d=1 t=91113
liu 	六	c=4 d=1 t=151135
liu 	劉	c=1 d=1 t=109002
liu 	流	c=5 d=1 t=77899
liu 	溜	c=4 d=3.78724 t=70539
liu 	留	c=11 d=1.00004 t=140910
liu bai 	留白	c=1 d=1 t=47531
liu chang 	流暢	c=2 d=1 t=126356
liu cheng 	流程	c=38 d=1.7085 t=153886
liu cheng tu 	流程圖	c=4 d=3.75563 t=81476
liu cun 	留存	c=1 d=1 t=88656
liu ge 	留個	c=1 d=1 t=153092
liu lan 	瀏覽	c=3 d=1 t=132476
liu lan ji lu 	瀏覽記錄	c=1 d=1 t=97213
liu lan qi 	瀏覽器	c=33 d=1 t=155161
liu lian 	留戀	c=1 d=1 t=117804
liu liang 	流量	c=11 d=1 t=109633
liu yan 	留言	c=1 d=1 t=74043
long 	龍	c=12 d=1 t=133440
lou 	樓	c=5 d=1 t=151614
lou 	漏	c=4 d=1 t=139691
lou dong 	漏洞	c=4 d=1 t=131748
lou shui 	漏水	c=1 d=1 t=92633
lu 	路	c=2 d=1 t=112834
lu 	錄	c=16 d=1 t=134807
lu 	陸	c=5 d=3.97017 t=83690
lu jing 	路徑	c=76 d=1.05603 t=152648
lu kou 	路口	c=1 d=1 t=76217
lu lu 	露露	c=19 d=1.92774 t=152888
lu ru 	錄入	c=1 d=1 t=29365
lu shang 	路上	c=3 d=1.41478 t=70802
lu you 	路由	c=24 d=1 t=140983
lu you qi 	路由器	c=6 d=1 t=148263
luan 	亂	c=7 d=1 t=141590
luan ma 	亂碼	c=25 d=1 t=134268
lun bo 	輪播	c=1 d=1 t=66612
lun tai 	輪胎	c=1 d=1 t=148589
lun zheng 	論證	c=1 d=1 t=43228
luo 	羅	c=2 d=1.99501 t=79159
luo ji 	羅技	c=2 d=1.74453 t=102057
luo ji 	邏輯	c=167 d=1.00711 t=155990
luo ji shang 	邏輯上	c=1 d=1 t=99708
lv 	率	c=1 d=1 t=33903
lv 	綠	c=2 d=1 t=89965
lv se 	綠色	c=3 d=1 t=97785
lv zheng 	律政	c=1 d=1 t=114548
lve guo 	略過	c=1 d=1 t=111152
ma 	嗎	c=1553 d=1.31864 t=156681
ma 	嘛	c=43 d=1.04264 t=155718
ma 	媽	c=8 d=1.00006 t=96728
ma 	碼	c=17 d=0.1 t=143412
ma 	馬	c=2 d=1 t=134834
ma fan 	麻煩	c=67 d=1.00982 t=149263
ma gang 	馬鋼	c=11 d=1 t=148210
ma kuang die 	嗎狂跌	c=1 d=1 t=144551
ma shang 	馬上	c=3 d=1 t=143337
mac 	Mac	c=2 d=1 t=103168
mai 	買	c=7 d=1 t=124971
mai 	賣	c=1 d=1 t=17599
mai 	麥	c=4 d=1 t=100379
man 	慢	c=50 d=1.68972 t=154992
man 	滿	c=5 d=1 t=64224
man 	蠻	c=7 d=1 t=156640
man cha xun 	慢查詢	c=1 d=1 t=89523
man dian 	慢點	c=1 d=1 t=18109
man man 	慢慢	c=2 d=1 t=107408
man zu 	滿足	c=3 d=1 t=139076
mang 	忙	c=13 d=1 t=127708
mang he 	盲盒	c=1 d=1 t=148291
mao 	毛	c=5 d=1 t=121340
mao 	貓	c=4 d=1 t=148283
mao bing 	毛病	c=1 d=1 t=155086
mao hao 	冒號	c=1 d=1 t=100149
mao si 	貌似	c=13 d=1 t=155837
me 	麼	c=4 d=1 t=90343
me er 	麼兒	c=4 d=1 t=95117
mei 	每	c=9 d=1 t=155284
mei 	沒	c=1707 d=1.69941 t=156543
mei 	美	c=3 d=1 t=139730
mei ban fa 	沒辦法	c=1 d=1 t=102584
mei bi yao 	沒必要	c=1 d=1 t=49340
mei bian 	沒變	c=1 d=1 t=137583
mei chuan 	沒穿	c=1 d=1 t=116226
mei ci 	每次	c=40 d=1 t=154566
mei de 	沒得	c=1 d=1 t=84831
mei dong 	沒動	c=1 d=1 t=148472
mei fa 	沒法	c=35 d=1 t=155494
mei fan hui 	沒返回	c=1 d=1 t=11984
mei ge 	每個	c=19 d=1 t=153670
mei geng xin 	沒更新	c=3 d=1 t=138422
mei guan xi 	沒關係	c=3 d=1 t=116499
mei guo 	沒過	c=2 d=1 t=134169
mei guo 	美國	c=3 d=1 t=110717
mei hao 	沒好	c=4 d=1 t=105956
mei hao 	美好	c=1 d=1 t=79760
mei hua 	美化	c=2 d=1 t=122350
mei ju 	枚舉	c=7 d=1 t=143885
mei ju 	美劇	c=5 d=1 t=143886
mei kan 	沒看	c=1 d=1 t=132910
mei kong 	沒空	c=12 d=1 t=146239
mei lai 	沒來	c=1 d=1 t=120267
mei le 	沒了	c=3 d=1 t=60259
